SupplierNo,Supplier Name,Country,Seg.Code,Category code description,Number of Invoices,SRM Type,Created on,Last Invoice date,Currency,Year To Date Spend
927,Supplier 927,GB,999999,UNCLASSIFIED,1,APPROVED,22.09.2017,27.06.2018,GBP,"12,495.52"
928,Supplier 928,GB,306299,OPTICAL SEPARATOR,11,APPROVED,22.09.2017,27.07.2018,GBP,"2,888.37"
929,Supplier 929,GB,641121,HEAVY VEHICLES BODIES AND EQUIPMENTS MAINTENANCE AND REPAIR SERVICES,16,APPROVED,22.09.2017,02.07.2018,GBP,"14,171.22"
930,Supplier 930,GB,308099,GENERAL INDUSTRIAL MAINTENANCE,17,APPROVED,22.09.2017,27.06.2018,GBP,"10,640.00"
931,Supplier 931,GB,641114,CHASSIS MAINTENANCE AND REPAIR SERVICES,66,APPROVED,22.09.2017,04.07.2018,GBP,"14,904.78"
932,Supplier 932,GB,721499,TRAVEL AND MICE MEETING INCENTIVE CONFERENCES EXHIBITION EXPENSES,2,APPROVED,22.09.2017,06.06.2018,GBP,"1,243.91"
933,Supplier 933,GB,701299,RECEPTION AND SECURITY,5,APPROVED,22.09.2017,27.07.2018,GBP,"3,789.00"
934,Supplier 934,GB,999999,UNCLASSIFIED,1,APPROVED,22.09.2017,04.04.2018,GBP,803.82
935,Supplier 935,GB,999999,UNCLASSIFIED,2,APPROVED,22.09.2017,07.02.2018,GBP,"3,118.49"
936,Supplier 936,GB,601199,SLUDGE AND WASTE COLLECTION AND TREATMENT,17,APPROVED,22.09.2017,27.07.2018,GBP,242.69
937,Supplier 937,GB,401112,METALLIC FRAME,5,APPROVED,22.09.2017,07.03.2018,GBP,"33,337.00"
938,Supplier 938,GB,309999,PLANT AND PROCESS EQUIPMENTS AND MAINTENANCE,1,APPROVED,22.09.2017,04.04.2018,GBP,330
939,Supplier 939,GB,999999,UNCLASSIFIED,1,APPROVED,22.09.2017,04.04.2018,GBP,"17,025.00"
940,Supplier 940,SE,961213,OTHER ROYALTIES,1,APPROVED,22.09.2017,25.07.2018,GBP,766.53
941,Supplier 941,GB,321415,ACCESS AND SECURITY MAINTENANCE,7,APPROVED,22.09.2017,27.06.2018,GBP,"4,864.75"
942,Supplier 942,GB,601199,SLUDGE AND WASTE COLLECTION AND TREATMENT,5,APPROVED,22.09.2017,27.07.2018,GBP,"1,243.67"
943,Supplier 943,NL,961099,INTERNAL RE-INVOICING,39,APPROVED,22.09.2017,06.06.2018,GBP,"1,427,394.17"
944,Supplier 944,GB,999999,UNCLASSIFIED,4,APPROVED,22.09.2017,31.07.2018,GBP,"118,040.00"
945,Supplier 945,GB,401099,CIVIL AND PUBLIC WORK,1,APPROVED,22.09.2017,02.07.2018,GBP,"2,950.00"
946,Supplier 946,GB,821099,CONSULTING SERVICES,5,APPROVED,22.09.2017,30.05.2018,GBP,"23,052.00"
947,Supplier 947,GB,302112,GEAR MOTOR - MAINTENANCE AND SERVICE,135,APPROVED,22.09.2017,27.07.2018,GBP,"38,834.90"
948,Supplier 948,GB,941010,WATER PURCHASE EXTERNALLY,2,APPROVED,22.09.2017,20.06.2018,GBP,182.09
949,Supplier 949,GB,308099,GENERAL INDUSTRIAL MAINTENANCE,5,APPROVED,22.09.2017,27.06.2018,GBP,"33,823.00"
950,Supplier 950,GB,601199,SLUDGE AND WASTE COLLECTION AND TREATMENT,5,APPROVED,22.09.2017,27.06.2018,GBP,210
951,Supplier 951,GB,341799,INSTRUMENTATION - METROLOGY / CALIBRATION / RENTING / OTHER SERVICES,37,APPROVED,22.09.2017,27.06.2018,GBP,"55,123.08"
952,Supplier 952,GB,401099,CIVIL AND PUBLIC WORK,7,APPROVED,22.09.2017,26.04.2018,GBP,"26,064.00"
953,Supplier 953,GB,999999,UNCLASSIFIED,2,APPROVED,22.09.2017,27.07.2018,GBP,668.47
954,Supplier 954,GB,309999,PLANT AND PROCESS EQUIPMENTS AND MAINTENANCE,173,APPROVED,22.09.2017,27.07.2018,GBP,"258,395.85"
955,Supplier 955,GB,301711,OVERHEAD - TRAVELLING CRANE MAINTENANCE AND SERVICE,2,APPROVED,22.09.2017,26.04.2018,GBP,"2,201.30"
956,Supplier 956,GB,641123,HEAVY VEHICLES TRAILERS,11,APPROVED,22.09.2017,27.07.2018,GBP,"238,439.48"
957,Supplier 957,GB,309999,PLANT AND PROCESS EQUIPMENTS AND MAINTENANCE,2,APPROVED,22.09.2017,07.03.2018,GBP,"9,781.20"
958,Supplier 958,GB,361799,MEDICAL AND PHARMACEUTICAL PRODUCTS,128,APPROVED,22.09.2017,27.07.2018,GBP,"144,922.75"
959,Supplier 959,GB,701901,FACILITY MANAGEMENT,66,APPROVED,22.09.2017,27.07.2018,GBP,"23,991.15"
960,Supplier 960,GB,307011,OTHER PLANT AND PROCESS EQUIPMENTS,2,APPROVED,22.09.2017,04.04.2018,GBP,"2,520.00"
961,Supplier 961,GB,341799,INSTRUMENTATION - METROLOGY / CALIBRATION / RENTING / OTHER SERVICES,4,APPROVED,22.09.2017,09.05.2018,GBP,"11,200.00"
962,Supplier 962,GB,361699,SECURITY EQUIPMENT AND SERVICES,70,APPROVED,22.09.2017,27.07.2018,GBP,"38,185.11"
963,Supplier 963,GB,306410,"PARTICLE SIZE SEPARATION MATERIAL (TROMMEL, RIDDLE…) - NEW MATERIAL",13,APPROVED,22.09.2017,27.07.2018,GBP,"60,127.03"
964,Supplier 964,GB,999999,UNCLASSIFIED,28,APPROVED,22.09.2017,27.07.2018,GBP,"35,680.00"
965,Supplier 965,GB,601199,SLUDGE AND WASTE COLLECTION AND TREATMENT,3,APPROVED,22.09.2017,27.06.2018,GBP,"6,608.00"
966,Supplier 966,GB,961301,ASSOCIATION SUBSCRITION,1,APPROVED,22.09.2017,30.05.2018,GBP,600
967,Supplier 967,DE,305411,FIREBRICKS - MAINTENANCE AND SERVICES,1,APPROVED,22.09.2017,03.07.2018,GBP,"43,335.11"
968,Supplier 968,GB,999999,UNCLASSIFIED,3,APPROVED,22.09.2017,27.07.2018,GBP,"5,380.32"
969,Supplier 969,GB,999999,UNCLASSIFIED,8,APPROVED,22.09.2017,27.06.2018,GBP,373.9
970,Supplier 970,GB,841214,TECHNICAL AND INDUSTRIAL TRAINING,2,APPROVED,22.09.2017,28.02.2018,GBP,"2,170.00"
971,Supplier 971,GB,381099,ANALYSES AND LABORATORY,42,APPROVED,22.09.2017,27.07.2018,GBP,"17,684.60"
972,Supplier 972,GB,701013,BUILDING - EXTERNAL - WALLS MAINTENANCE,3,APPROVED,22.09.2017,30.05.2018,GBP,"2,814.00"
973,Supplier 973,GB,362299,TOOLS,10,APPROVED,22.09.2017,13.06.2018,GBP,"1,116.19"
974,Supplier 974,GB,701699,CATERING,21,APPROVED,22.09.2017,27.07.2018,GBP,"2,071.88"
975,Supplier 975,GB,601199,SLUDGE AND WASTE COLLECTION AND TREATMENT,113,APPROVED,22.09.2017,27.07.2018,GBP,"219,099.94"
976,Supplier 976,GB,308099,GENERAL INDUSTRIAL MAINTENANCE,7,APPROVED,22.09.2017,28.02.2018,GBP,"7,520.02"
977,Supplier 977,GB,401099,CIVIL AND PUBLIC WORK,5,APPROVED,22.09.2017,01.03.2018,GBP,"10,195.77"
978,Supplier 978,GB,361099,INDUSTRIAL SUPPLIES,9,APPROVED,22.09.2017,27.07.2018,GBP,"17,495.00"
979,Supplier 979,GB,361699,SECURITY EQUIPMENT AND SERVICES,36,APPROVED,22.09.2017,27.07.2018,GBP,"91,574.82"
980,Supplier 980,GB,701699,CATERING,4,APPROVED,22.09.2017,02.07.2018,GBP,568.15
981,Supplier 981,GB,721410,TRAVEL AGENCY FEES,6,APPROVED,22.09.2017,06.06.2018,GBP,169.2
982,Supplier 982,GB,601199,SLUDGE AND WASTE COLLECTION AND TREATMENT,17,APPROVED,22.09.2017,02.07.2018,GBP,"131,745.43"
983,Supplier 983,GB,641015,MAINTENANCE VEHICLE LIGHTER THAN 3.5T,17,APPROVED,22.09.2017,25.07.2018,GBP,"19,098.73"
984,Supplier 984,GB,361013,SMALL INDUSTRIAL SUPPLIES,1,APPROVED,22.09.2017,10.01.2018,GBP,200
985,Supplier 985,GB,321499,ELECTRICAL INSTALLATION SERVICES AND MAINTENANCE,14,PREFERRED,22.09.2017,27.06.2018,GBP,"29,634.81"
986,Supplier 986,GB,305512,FLUE GAS TREATMENT - MAINTENANCE AND SERVICE,2,APPROVED,22.09.2017,14.03.2018,GBP,"4,296.01"
987,Supplier 987,GB,999999,UNCLASSIFIED,31,APPROVED,22.09.2017,11.07.2018,GBP,"9,158.72"
988,Supplier 988,GB,601199,SLUDGE AND WASTE COLLECTION AND TREATMENT,1,APPROVED,22.09.2017,27.07.2018,GBP,"1,970.00"
989,Supplier 989,FR,999999,UNCLASSIFIED,1,APPROVED,22.09.2017,29.05.2018,GBP,"1,653.56"
990,Supplier 990,GB,307011,OTHER PLANT AND PROCESS EQUIPMENTS,1,APPROVED,22.09.2017,29.01.2018,GBP,245
991,Supplier 991,GB,701901,FACILITY MANAGEMENT,27,APPROVED,22.09.2017,27.07.2018,GBP,"12,133.30"
992,Supplier 992,GB,301013,SKIP - MAINTENANCE AND SERVICES,46,APPROVED,22.09.2017,27.07.2018,GBP,"39,520.00"
993,Supplier 993,GB,801099,IT SERVICES,2,APPROVED,22.09.2017,02.01.2018,GBP,602.76
994,Supplier 994,GB,641120,SPECIFIC EQUIPMENTS,1,APPROVED,22.09.2017,13.06.2018,GBP,161.52
995,Supplier 995,GB,601199,SLUDGE AND WASTE COLLECTION AND TREATMENT,29,APPROVED,22.09.2017,27.07.2018,GBP,"14,768.60"
996,Supplier 996,GB,301599,WEIGHTING EQUIPMENTS,24,APPROVED,22.09.2017,27.07.2018,GBP,"11,355.00"
997,Supplier 997,GB,601016,WASTE TRUCK TRANSPORT,6,PREFERRED,22.09.2017,27.06.2018,GBP,"15,961.65"
998,Supplier 998,GB,701699,CATERING,9,APPROVED,22.09.2017,06.06.2018,GBP,893.5
999,Supplier 999,GB,149999,CHEMICAL AND TREATMENT PRODUCTS,9,APPROVED,22.09.2017,27.07.2018,GBP,"38,550.00"
1000,Supplier 1000,GB,301099,CONTAINERS,8,APPROVED,22.09.2017,27.07.2018,GBP,"37,886.80"
1001,Supplier 1001,GB,261210,ELECTRICITY,14,APPROVED,22.09.2017,25.07.2018,GBP,"34,575.00"
1002,Supplier 1002,GB,601199,SLUDGE AND WASTE COLLECTION AND TREATMENT,237,APPROVED,22.09.2017,20.06.2018,GBP,"181,951.91"
1003,Supplier 1003,GB,801213,NETWORK TELECOM EQUIPEMENT - PURCHASE,1,APPROVED,22.09.2017,07.02.2018,GBP,"47,140.00"
1004,Supplier 1004,GB,302312,SEWAGE SUBMERSIBLE PUMPS - MAINTENANCE AND SERVICE,34,APPROVED,22.09.2017,27.07.2018,GBP,"121,142.13"
1005,Supplier 1005,GB,261212,NATURAL GAS,9,APPROVED,22.09.2017,25.07.2018,GBP,"10,744.42"
1006,Supplier 1006,FR,308022,INDUSTRIAL EQUIPMENT CLEANING,1,APPROVED,22.09.2017,04.01.2018,GBP,"2,292.96"
1007,Supplier 1007,GB,307011,OTHER PLANT AND PROCESS EQUIPMENTS,5,APPROVED,22.09.2017,02.07.2018,GBP,"2,332.67"
1008,Supplier 1008,GB,309999,PLANT AND PROCESS EQUIPMENTS AND MAINTENANCE,57,APPROVED,22.09.2017,27.07.2018,GBP,"18,634.00"
1009,Supplier 1009,GB,601199,SLUDGE AND WASTE COLLECTION AND TREATMENT,29,APPROVED,22.09.2017,27.07.2018,GBP,"24,775.68"
1010,Supplier 1010,FR,308012,MAINTENANCE FOR ON LINE BOILER CLEANING SYSTEMS,1,APPROVED,22.09.2017,29.01.2018,GBP,"6,466.90"
1011,Supplier 1011,GB,601199,SLUDGE AND WASTE COLLECTION AND TREATMENT,97,APPROVED,22.09.2017,27.07.2018,GBP,"399,038.17"
1012,Supplier 1012,GB,801199,SOFTWARE,1,APPROVED,22.09.2017,02.01.2018,GBP,"2,000.00"
1013,Supplier 1013,GB,302312,SEWAGE SUBMERSIBLE PUMPS - MAINTENANCE AND SERVICE,75,APPROVED,22.09.2017,25.07.2018,GBP,"58,003.35"
1014,Supplier 1014,GB,381099,ANALYSES AND LABORATORY,24,APPROVED,22.09.2017,27.07.2018,GBP,"8,105.64"
1015,Supplier 1015,GB,362632,PAINT,15,APPROVED,22.09.2017,27.07.2018,GBP,"2,497.83"
1016,Supplier 1016,GB,701101,"PLANTS, MAINTENANCE OF GREEN SPACES, GARDEN AND ROAD WORK",9,APPROVED,22.09.2017,27.07.2018,GBP,"1,983.00"
1017,Supplier 1017,GB,701211,SECURITY SERVICES,9,APPROVED,22.09.2017,30.05.2018,GBP,"2,995.00"
1018,Supplier 1018,GB,601199,SLUDGE AND WASTE COLLECTION AND TREATMENT,208,APPROVED,22.09.2017,27.07.2018,GBP,"152,852.55"
1019,Supplier 1019,GB,381099,ANALYSES AND LABORATORY,2,APPROVED,22.09.2017,13.06.2018,GBP,"10,073.00"
1020,Supplier 1020,GB,701101,"PLANTS, MAINTENANCE OF GREEN SPACES, GARDEN AND ROAD WORK",1,APPROVED,22.09.2017,27.03.2018,GBP,"3,970.00"
1021,Supplier 1021,GB,142010,DEMINERALIZED WATER,3,APPROVED,22.09.2017,27.07.2018,GBP,"9,189.72"
1022,Supplier 1022,GB,701410,CLEANING SERVICES,36,APPROVED,22.09.2017,27.07.2018,GBP,"5,951.42"
1023,Supplier 1023,GB,701610,COLLECTIVE CATERING,8,APPROVED,22.09.2017,27.06.2018,GBP,"1,036.48"
1024,Supplier 1024,NL,801099,IT SERVICES,9,APPROVED,22.09.2017,03.07.2018,GBP,"12,217.52"
1025,Supplier 1025,GB,641111,HEAVY VEHICLES CHASSIS ACQUISITION,4,APPROVED,22.09.2017,09.05.2018,GBP,"1,772.10"
1026,Supplier 1026,GB,641012,LONG TERM RENTAL VEHICLE LIGHTER THAN 3.5T,290,APPROVED,22.09.2017,27.07.2018,GBP,"69,871.08"
1027,Supplier 1027,GB,701211,SECURITY SERVICES,9,APPROVED,22.09.2017,18.07.2018,GBP,"8,151.75"
1028,Supplier 1028,GB,841213,GENERAL SKILLS TRAINING,63,APPROVED,22.09.2017,27.07.2018,GBP,"65,547.63"
1029,Supplier 1029,GB,841213,GENERAL SKILLS TRAINING,7,APPROVED,22.09.2017,11.07.2018,GBP,"33,077.00"
1030,Supplier 1030,GB,601199,SLUDGE AND WASTE COLLECTION AND TREATMENT,11,APPROVED,22.09.2017,18.07.2018,GBP,"14,075.00"
1031,Supplier 1031,GB,801311,MOBILE PHONE COMMUNICATION SUBSCRIPTION AND CONSUMPTION,1,APPROVED,22.09.2017,11.07.2018,GBP,"3,500.00"
1032,Supplier 1032,GB,701699,CATERING,3,APPROVED,22.09.2017,30.05.2018,GBP,"1,164.72"
1033,Supplier 1033,GB,641312,CONSTRUCTION MACHINERY ACQUISITION,332,PREFERRED,22.09.2017,27.07.2018,GBP,"284,981.25"
1034,Supplier 1034,GB,421101,DRILLING DIAGNOSTIC,2,APPROVED,22.09.2017,04.04.2018,GBP,"4,053.10"
1035,Supplier 1035,GB,701099,SITE MAINTENANCE AND WORKS,16,APPROVED,22.09.2017,27.07.2018,GBP,"14,001.90"
1036,Supplier 1036,GB,641126,HEAVY VEHICLES SHORT TERM RENTAL,13,APPROVED,22.09.2017,27.07.2018,GBP,"11,631.44"
1037,Supplier 1037,GB,601199,SLUDGE AND WASTE COLLECTION AND TREATMENT,926,APPROVED,22.09.2017,27.07.2018,GBP,"299,249.10"
1038,Supplier 1038,GB,641120,SPECIFIC EQUIPMENTS,3,APPROVED,22.09.2017,30.05.2018,GBP,495.1
1039,Supplier 1039,GB,701699,CATERING,2,APPROVED,22.09.2017,25.04.2018,GBP,150
1040,Supplier 1040,GB,821011,MANAGEMENT AND ORGANISATION CONSULTING SERVICES,1,APPROVED,22.09.2017,28.03.2018,GBP,"3,950.00"
1041,Supplier 1041,FR,999999,UNCLASSIFIED,1,APPROVED,22.09.2017,06.04.2018,GBP,"1,523.37"
1042,Supplier 1042,GB,999999,UNCLASSIFIED,3,APPROVED,22.09.2017,26.04.2018,GBP,"21,830.00"
1043,Supplier 1043,GB,306012,COMPACTOR RENTING,10,APPROVED,22.09.2017,27.06.2018,GBP,"1,758.00"
1044,Supplier 1044,GB,301013,SKIP - MAINTENANCE AND SERVICES,7,APPROVED,22.09.2017,27.07.2018,GBP,"4,770.00"
1045,Supplier 1045,GB,302310,SEWAGE SUBMERSIBLE PUMPS - NEW MATERIAL,23,APPROVED,22.09.2017,27.07.2018,GBP,"15,195.00"
1046,Supplier 1046,GB,961123,OTHER TAXES,3,APPROVED,22.09.2017,27.06.2018,GBP,"1,969.76"
1047,Supplier 1047,GB,301099,CONTAINERS,6,APPROVED,22.09.2017,27.06.2018,GBP,"10,717.94"
1048,Supplier 1048,GB,701901,FACILITY MANAGEMENT,4,APPROVED,22.09.2017,27.07.2018,GBP,"1,633.96"
1049,Supplier 1049,GB,301013,SKIP - MAINTENANCE AND SERVICES,9,APPROVED,22.09.2017,27.07.2018,GBP,166.19
1050,Supplier 1050,GB,821012,ENVIRONMENTAL CONSULTING SERVICES,1,APPROVED,22.09.2017,29.01.2018,GBP,360
1051,Supplier 1051,GB,301013,SKIP - MAINTENANCE AND SERVICES,8,APPROVED,22.09.2017,02.05.2018,GBP,"3,202.90"
1052,Supplier 1052,GB,307011,OTHER PLANT AND PROCESS EQUIPMENTS,13,APPROVED,22.09.2017,27.07.2018,GBP,"78,000.00"
1053,Supplier 1053,GB,381511,INSPECTIONS - ANALYSIS - TECHNICAL STUDIES,1,MAJOR,22.09.2017,29.01.2018,GBP,923
1054,Supplier 1054,GB,601144,WASTE INCINERATION (APCR),21,PREFERRED,22.09.2017,27.07.2018,GBP,"21,370.39"
1055,Supplier 1055,GB,821311,BANK SERVICES,6,APPROVED,22.09.2017,25.07.2018,GBP,"47,270.87"
1056,Supplier 1056,GB,621116,ARCHIVING AREA RENTAL,30,APPROVED,22.09.2017,11.07.2018,GBP,"13,463.14"
1057,Supplier 1057,GB,341799,INSTRUMENTATION - METROLOGY / CALIBRATION / RENTING / OTHER SERVICES,2,APPROVED,22.09.2017,02.05.2018,GBP,710
1058,Supplier 1058,GB,841299,TRAINING,1,APPROVED,22.09.2017,28.02.2018,GBP,"19,500.00"
1059,Supplier 1059,GB,362299,TOOLS,2,APPROVED,22.09.2017,26.04.2018,GBP,58
1060,Supplier 1060,GB,999999,UNCLASSIFIED,1,PREFERRED,22.09.2017,14.03.2018,GBP,500
1061,Supplier 1061,GB,641411,LONG TERM RENTAL HANDLING CART,9,APPROVED,22.09.2017,27.07.2018,GBP,"3,096.64"
1062,Supplier 1062,GB,381099,ANALYSES AND LABORATORY,15,APPROVED,22.09.2017,02.07.2018,GBP,"18,111.00"
1063,Supplier 1063,GB,362410,SHORT TERM RENTAL OF EQUIPMENT AND PORTABLE MATERIAL,46,APPROVED,22.09.2017,27.07.2018,GBP,"50,314.46"
1064,Supplier 1064,GB,142010,DEMINERALIZED WATER,1,APPROVED,22.09.2017,26.04.2018,GBP,"13,442.00"
1065,Supplier 1065,GB,999999,UNCLASSIFIED,3,APPROVED,22.09.2017,18.07.2018,GBP,"1,452.70"
1066,Supplier 1066,GB,841001,TEMPORARY WORKERS,6,APPROVED,22.09.2017,27.07.2018,GBP,"1,604.00"
1067,Supplier 1067,GB,261210,ELECTRICITY,50,PREFERRED,22.09.2017,31.07.2018,GBP,"4,386,889.80"
1068,Supplier 1068,GB,601199,SLUDGE AND WASTE COLLECTION AND TREATMENT,"1,362",APPROVED,22.09.2017,27.07.2018,GBP,"104,831.22"
1069,Supplier 1069,GB,307011,OTHER PLANT AND PROCESS EQUIPMENTS,168,APPROVED,22.09.2017,27.07.2018,GBP,"173,050.24"
1070,Supplier 1070,GB,641115,EQUIPMENTS FOR SEWAGE/HP CLEANERS VEHICLES,55,APPROVED,22.09.2017,27.07.2018,GBP,"14,821.71"
1071,Supplier 1071,GB,841299,TRAINING,3,APPROVED,22.09.2017,27.07.2018,GBP,"2,400.00"
1072,Supplier 1072,GB,361699,SECURITY EQUIPMENT AND SERVICES,8,APPROVED,22.09.2017,27.06.2018,GBP,"2,597.04"
1073,Supplier 1073,GB,301015,BAGS,6,APPROVED,22.09.2017,18.07.2018,GBP,"34,483.50"
1074,Supplier 1074,GB,601199,SLUDGE AND WASTE COLLECTION AND TREATMENT,84,APPROVED,22.09.2017,27.07.2018,GBP,"9,895.00"
1075,Supplier 1075,GB,701099,SITE MAINTENANCE AND WORKS,130,APPROVED,22.09.2017,27.07.2018,GBP,"60,330.00"
1076,Supplier 1076,GB,601199,SLUDGE AND WASTE COLLECTION AND TREATMENT,18,APPROVED,22.09.2017,27.07.2018,GBP,"1,934.42"
1077,Supplier 1077,GB,961199,TAXES,42,APPROVED,22.09.2017,25.07.2018,GBP,"67,431.50"
1078,Supplier 1078,GB,641311,CONSTRUCTION MACHINERY LONG TERM RENTAL,658,APPROVED,22.09.2017,27.07.2018,GBP,"866,136.04"
1079,Supplier 1079,GB,641411,LONG TERM RENTAL HANDLING CART,40,APPROVED,22.09.2017,27.07.2018,GBP,"17,646.00"
1080,Supplier 1080,GB,641114,CHASSIS MAINTENANCE AND REPAIR SERVICES,27,APPROVED,22.09.2017,27.06.2018,GBP,"2,491.80"
1081,Supplier 1081,GB,999999,UNCLASSIFIED,2,APPROVED,22.09.2017,11.04.2018,GBP,400
1082,Supplier 1082,GB,362299,TOOLS,10,APPROVED,22.09.2017,27.07.2018,GBP,"2,570.00"
1083,Supplier 1083,GB,841212,TRAINING: HSE - SAFETY,10,APPROVED,22.09.2017,27.06.2018,GBP,"1,407.00"
1084,Supplier 1084,GB,601199,SLUDGE AND WASTE COLLECTION AND TREATMENT,13,APPROVED,22.09.2017,27.07.2018,GBP,"7,908.90"
1085,Supplier 1085,GB,641120,SPECIFIC EQUIPMENTS,1,APPROVED,22.09.2017,28.02.2018,GBP,"2,493.33"
1086,Supplier 1086,GB,641122,HEAVY VEHICLES SPARE PARTS,314,APPROVED,22.09.2017,27.07.2018,GBP,"113,636.53"
1087,Supplier 1087,GB,961123,OTHER TAXES,52,APPROVED,22.09.2017,06.06.2018,GBP,"29,592.57"
1088,Supplier 1088,GB,601199,SLUDGE AND WASTE COLLECTION AND TREATMENT,4,APPROVED,22.09.2017,27.07.2018,GBP,576
1089,Supplier 1089,GB,361013,SMALL INDUSTRIAL SUPPLIES,7,APPROVED,22.09.2017,30.05.2018,GBP,"2,620.33"
1090,Supplier 1090,GB,307011,OTHER PLANT AND PROCESS EQUIPMENTS,25,APPROVED,22.09.2017,27.07.2018,GBP,"8,149.02"
1091,Supplier 1091,GB,361910,LABORATORY EQUIPMENT,4,APPROVED,22.09.2017,20.06.2018,GBP,"1,946.67"
1092,Supplier 1092,GB,601199,SLUDGE AND WASTE COLLECTION AND TREATMENT,12,APPROVED,22.09.2017,25.07.2018,GBP,"72,054.55"
1093,Supplier 1093,IM,801312,NETWORK COMMUNICATION SUBSCRIPTION AND CONSUMPTION,7,PREFERRED,22.09.2017,18.07.2018,GBP,"5,123.65"
1094,Supplier 1094,GB,999999,UNCLASSIFIED,14,APPROVED,22.09.2017,27.07.2018,GBP,"24,948.83"
1095,Supplier 1095,GB,601199,SLUDGE AND WASTE COLLECTION AND TREATMENT,3,APPROVED,22.09.2017,30.05.2018,GBP,"1,048.54"
1096,Supplier 1096,GB,701211,SECURITY SERVICES,1,APPROVED,22.09.2017,14.02.2018,GBP,999
1097,Supplier 1097,GB,821199,LEGAL SERVICES,18,APPROVED,22.09.2017,23.05.2018,GBP,"95,490.00"
1098,Supplier 1098,GB,261399,WATER,36,APPROVED,22.09.2017,11.07.2018,GBP,"47,879.55"
1099,Supplier 1099,GB,701010,MULTI - TECHNICAL SITE MAINTENANCE,14,APPROVED,22.09.2017,27.07.2018,GBP,"25,300.60"
1100,Supplier 1100,GB,999999,UNCLASSIFIED,1,APPROVED,22.09.2017,17.01.2018,GBP,544
1101,Supplier 1101,GB,999999,UNCLASSIFIED,8,APPROVED,22.09.2017,26.04.2018,GBP,"2,315.00"
1102,Supplier 1102,GB,362499,SHORT TERM RENTAL OF EQUIPMENT AND PORTABLE MATERIAL,304,APPROVED,22.09.2017,27.07.2018,GBP,"35,972.05"
1103,Supplier 1103,GB,821711,ADVERTISING SPACE PURCHASE,98,APPROVED,22.09.2017,27.07.2018,GBP,"175,493.31"
1104,Supplier 1104,GB,641120,SPECIFIC EQUIPMENTS,5,APPROVED,22.09.2017,27.06.2018,GBP,"1,893.75"
1105,Supplier 1105,GB,701211,SECURITY SERVICES,17,APPROVED,22.09.2017,27.07.2018,GBP,"7,695.30"
1106,Supplier 1106,GB,821012,ENVIRONMENTAL CONSULTING SERVICES,8,APPROVED,22.09.2017,27.07.2018,GBP,"16,835.14"
1107,Supplier 1107,GB,305410,FIREBRICKS - NEW MATERIAL,14,APPROVED,22.09.2017,02.07.2018,GBP,"356,874.10"
1108,Supplier 1108,GB,361013,SMALL INDUSTRIAL SUPPLIES,10,PREFERRED,22.09.2017,30.05.2018,GBP,"39,505.46"
1109,Supplier 1109,GB,601199,SLUDGE AND WASTE COLLECTION AND TREATMENT,3,APPROVED,22.09.2017,27.06.2018,GBP,285
1110,Supplier 1110,GB,641126,HEAVY VEHICLES SHORT TERM RENTAL,742,APPROVED,22.09.2017,27.07.2018,GBP,"241,264.45"
1111,Supplier 1111,GB,401011,ROADS RELATED,4,APPROVED,22.09.2017,27.07.2018,GBP,"6,891.39"
1112,Supplier 1112,GB,601199,SLUDGE AND WASTE COLLECTION AND TREATMENT,3,APPROVED,22.09.2017,25.04.2018,GBP,"7,020.52"
1113,Supplier 1113,GB,302999,WELDED EQUIPMENTS,21,APPROVED,22.09.2017,06.06.2018,GBP,"8,350.70"
1114,Supplier 1114,GB,306799,CONVEYOR,5,APPROVED,22.09.2017,27.07.2018,GBP,"9,254.45"
1115,Supplier 1115,GB,701610,COLLECTIVE CATERING,33,APPROVED,22.09.2017,02.07.2018,GBP,"1,261.40"
1116,Supplier 1116,GB,841213,GENERAL SKILLS TRAINING,4,APPROVED,22.09.2017,11.07.2018,GBP,"8,819.56"
1117,Supplier 1117,GB,961123,OTHER TAXES,3,APPROVED,22.09.2017,25.07.2018,GBP,"5,911.10"
1118,Supplier 1118,GB,841213,GENERAL SKILLS TRAINING,11,APPROVED,22.09.2017,27.07.2018,GBP,"3,709.00"
1119,Supplier 1119,GB,304110,LEACHATE DISTRIBUTION STRUCTURES,146,PREFERRED,22.09.2017,27.07.2018,GBP,"255,197.47"
1120,Supplier 1120,GB,361013,SMALL INDUSTRIAL SUPPLIES,17,PREFERRED,22.09.2017,27.07.2018,GBP,"76,109.59"
1121,Supplier 1121,GB,801399,TELECOMMUNICATION,85,PREFERRED,22.09.2017,20.06.2018,GBP,"495,209.61"
1122,Supplier 1122,GB,999999,UNCLASSIFIED,1,APPROVED,22.09.2017,06.02.2018,GBP,"1,200.07"
1123,Supplier 1123,GB,302312,SEWAGE SUBMERSIBLE PUMPS - MAINTENANCE AND SERVICE,35,APPROVED,22.09.2017,27.07.2018,GBP,"28,094.72"
1124,Supplier 1124,GB,361013,SMALL INDUSTRIAL SUPPLIES,1,APPROVED,22.09.2017,29.01.2018,GBP,185
1125,Supplier 1125,GB,601199,SLUDGE AND WASTE COLLECTION AND TREATMENT,6,APPROVED,22.09.2017,27.07.2018,GBP,"1,454.00"
1126,Supplier 1126,GB,401099,CIVIL AND PUBLIC WORK,11,APPROVED,22.09.2017,25.07.2018,GBP,"6,306.00"
1127,Supplier 1127,GB,621116,ARCHIVING AREA RENTAL,23,APPROVED,22.09.2017,27.07.2018,GBP,"5,675.23"
